49	91
29	66
30	47
45	85
32	16
35	92
45	80
47	70
88	9
38	17
39	96
41	78
70	9
53	90
35	2
31	77
72	87
46	29
42	65
75	27
53	60
40	79
82	80
47	32
44	73
86	17
47	22
60	27
57	51
40	97
70	84
52	49
34	95
41	30
71	43
42	49
49	36
34	78
66	24
60	81
46	14
41	58
42	40
62	4
26	59
34	24
53	89
30	44
49	15
34	42
60	75
41	70
33	15
45	67
43	46
81	1
44	67
51	33
45	46
27	33
38	70
34	42
54	52
44	53
59	98
25	29
55	52
27	7
40	57
42	83
52	49
37	65
60	96
30	100
42	48
53	51
44	93
52	76
49	1
53	3
53	94
28	82
34	84
44	79
46	33
35	75
46	46
49	32
41	16
59	57
40	61
60	75
28	16
52	46
50	55
53	53
47	25
27	68
39	85
49	83
45	24
53	52
41	66
56	88
30	32
30	57
39	68
44	59
56	13
26	45
31	99
50	60
43	98
43	21
57	79
51	88
34	24
37	69
54	93
53	75
39	4
42	74
38	5
44	96
44	67
58	61
48	29
31	88
43	64
29	33
59	79
53	77
27	89
55	31
53	74
57	18
58	32
35	44
56	33
44	43
35	22
34	84
29	74
59	2
39	29
52	56
33	1
59	75
44	67
30	3
38	97
50	7
53	40
54	37
60	2
30	52
32	50
50	54
45	43
28	77
60	99
36	76
34	30
51	30
37	37
49	30
55	9
36	52
40	17
33	56
55	83
60	50
44	78
46	63
26	89
29	93
58	7
43	92
43	60
44	29
58	19
38	79
41	93
41	75
57	39
41	42
36	3
52	97
53	7
26	25
26	25
26	96
39	63
40	68
34	36
30	69
31	16
54	44
46	75
37	3
44	97
27	76
35	36
57	67
28	6
60	16
40	39
56	87
39	15
55	34
42	39
56	33
39	43
60	4
45	54
57	3
27	48
45	30
30	2
29	22
50	46
26	63
32	57
43	73
38	3
44	64
39	29
54	93
60	0
36	58
53	10
29	30
44	100
54	70
48	36
52	55
32	53
30	81
56	96
59	64
40	21
42	37
32	100
44	98
36	93
46	77
42	70
52	82
33	4
48	7
45	19
38	47
35	10
55	68
33	69
43	28
60	68
59	42
38	52
42	20
37	53
51	53
40	82
38	9
47	26
25	12
29	38
52	22
46	92
40	50
29	73
45	53
54	75
36	62
51	75
43	50
35	43
27	58
30	81
41	79
35	9
25	53
55	13
52	0
26	59
26	32
40	21
31	68
29	22
56	79
38	86
57	0
27	71
33	95
44	22
48	66
29	54
51	8
53	17
39	93
43	74
31	98
58	73
54	58
60	2
42	51
35	34
42	96
38	69
33	52
36	18
33	26
57	69
38	49
51	45
32	71
51	81
25	72
28	11
31	50
55	26
55	35
28	61
44	58
43	99
38	61
35	19
53	43
49	89
54	29
25	70
28	22
59	50
56	48
42	15
29	64
57	40
48	4
36	21
60	60
45	61
50	88
37	98
45	79
44	41
32	91
59	12
45	22
31	85
32	36
36	42
33	37
31	30
44	98
45	30
49	85
39	100
60	44
32	64
58	6
48	26
44	69
36	66
51	5
52	70
26	8
37	18
46	100
27	100
26	22
46	37
42	44
39	51
52	57
33	4
29	15
28	92
31	72
34	18
48	38
27	28
46	12
40	83
35	60
29	95
35	70
41	95
31	94
56	62
46	34
37	59
45	95
48	23
30	13
33	82
42	52
45	78
52	62
28	82
32	88
59	58
35	61
45	88
54	83
54	56
42	31
54	35
46	40
28	4
47	32
51	56
42	20
29	99
55	62
30	72
27	2
47	17
57	45
35	35
43	92
28	38
56	1
25	64
39	12
44	74
32	76
35	58
57	39
25	1
56	66
29	71
55	0
38	76
28	38
42	48
27	97
46	78
54	49
47	54
36	98
58	56
25	31
41	16
40	56
52	14
50	39
36	86
60	88
53	14
28	8
40	73
28	40
31	66
28	84
52	42
52	93
51	69
40	34
50	8
36	66
49	29
55	65
58	82
56	46
51	64
36	20
34	11
32	34
34	89
59	3
43	76
35	82
39	20
33	77
38	92
26	25
33	34
51	19
39	95
53	85
54	99
26	5
60	18
43	71
49	7
51	42
33	5
52	98
34	27
30	24
43	79
59	16
41	6
52	91
56	23
57	45
53	100
53	7
26	3
40	1000
44	250
59	495
28	723
42	548
43	155
100	96
97	76
85	80
98	77
88	81
90	663
